Timestamp (seg),Sensor Infrarrojo (ADC),Sensor Ultrasonico (cm),Sensor de Presion (valor calibrado)
1,64719,195.9,8388.607
2,64847,195.9,8388.612
3,64239,195.9,8388.6
4,64079,195.9,8388.615
5,64399,196.2,8388.605
6,64879,195.9,8388.61
7,9778,195.9,8388.599
8,9762,196.1,8388.617
9,11474,195.8,8388.608
10,64559,196.1,8388.611
11,8242,195.8,8388.607
12,9122,196.1,8388.612
13,64559,195.8,8388.6
14,64687,195.8,8388.615
15,64959,196.2,8388.605
16,64479,195.8,8388.61
17,64687,196.2,8388.599
18,64703,195.8,8388.617
19,64735,195.8,8388.608
20,64783,196.2,8388.611
21,65039,196.2,8388.607
22,64543,195.4,8388.612
23,64671,196.2,8388.6
24,64671,195.8,8388.615
25,64959,195.8,8388.605
26,9778,195.8,8388.61
27,10162,196.2,8388.599
28,9538,195.8,8388.617
29,9826,196.2,8388.608
30,9810,195.8,8388.611
31,64559,196.2,8388.607
32,64463,195.9,8388.612
33,64447,195.9,8388.6
34,64831,28.5,8388.615
35,64831,9.5,8388.605
36,64623,5.6,8388.61
37,64335,10.2,8388.599
38,64575,195.9,8388.617
39,64495,17.6,8388.608
40,64431,13.7,8388.611
41,64591,28.5,8388.607
42,64287,31.7,8388.612
43,64543,16.4,8388.6
44,64463,14.7,8388.615
45,64591,195.9,8388.605
46,64495,195.9,8388.61
47,64415,196.2,8388.599
48,64655,195.8,8388.617
49,63983,195.9,8388.608
50,64431,195.9,8388.611
51,64159,196.3,8388.607
52,64271,195.8,8388.612
53,64143,195.8,8388.6
54,64287,195.9,8388.615
55,64495,195.9,8388.605
56,64271,195.8,8388.61
57,64223,195.9,8388.599
58,64111,195.9,8388.617
59,64591,28.5,8388.608
60,64015,196.3,8388.611
61,64031,196.2,8388.607
62,9634,195.9,8388.612
63,63903,195.9,8388.6
64,63807,196.2,8388.615
65,64671,195.8,8388.605
66,65039,195.9,8388.61
67,64303,196.2,8388.599
68,64287,195.8,8388.617
69,64351,196.2,8388.608
70,64527,196.2,8388.611
71,64495,195.8,8388.607
72,64815,195.9,8388.612
73,64927,196.3,8388.6
74,64287,196.2,8388.615
75,64415,195.8,8388.605
76,64415,196.2,8388.61
77,64351,195.8,8388.599
78,64271,195.8,8388.617
79,57341,195.8,8388.608
80,12595,195.8,8388.6110
81,11794,28.5,8388.6070
82,11970,76.8,8388.6120
83,11554,194.5,8388.6000
84,10946,70.3,8388.6150
85,35416,11.6,8388.6050
86,36648,194.4,8388.6100
87,24549,69.9,8388.5990
88,9698,73.1,8388.6170
89,10050,194.5,8388.6080
90,9650,194.5,8388.6110
91,10290,194.4,8388.6070
92,11170,76.8,8388.6120
93,10722,194.9,8388.6000
94,9634,75.8,8388.6150
95,9666,194.8,8388.6050
96,9218,11.6,8388.6100
97,11138,11.6,8388.5990
98,10402,10.9,8388.6170
99,10690,10.9,8388.6080
100,12547,9.5,8388.6110
101,11218,14.7,8388.6070
102,10418,6.6,8388.6120
103,9922,61.5,8388.6000
104,32455,194.8,8388.6150
105,9522,8.5,8388.6050
106,9602,3.3,8388.6100
107,27350,4.3,8388.5990
108,22405,66.9,8388.6170
109,11826,3.9,8388.6080
110,9506,5.9,8388.6110
111,45883,13.0,8388.6070
112,11858,4.6,8388.6120
113,36376,60.5,8388.6000
114,11858,23.3,8388.6150
115,40281,64.8,8388.6050
116,12098,195.2,8388.6100
117,34712,61.1,8388.5990
118,11538,11.3,8388.6170
119,10562,18.9,8388.6080
120,29143,16.0,8388.6110
121,9442,17.0,8388.6070
122,36776,15.4,8388.6120
123,10178,56.9,8388.6000
124,10242,9.6,8388.6150
125,45931,52.5,8388.6050
126,43450,18.9,8388.6100
127,10674,24.5,8388.5990
128,12611,16.0,8388.6170
129,12771,13.7,8388.6080
130,12979,29.4,8388.6110
131,56157,20.5,8388.6070
132,10914,29.4,8388.6070
133,54797,11.6,8388.6120
134,12723,29.4,8388.6000
135,13363,28.0,8388.6150
136,55629,29.4,8388.6050
137,41194,18.6,8388.6100
138,12851,25.1,8388.5990
139,38057,19.6,8388.6170
140,55277,71.7,8388.6080
141,11490,71.7,8388.6110
142,11202,43.0,8388.6070
143,53997,20.5,8388.6120
144,45739,14.0,8388.6000
145,58126,24.5,8388.6150
146,12867,18.9,8388.6050
147,25638,16.7,8388.6100
148,13075,17.0,8388.5990
149,62191,26.5,8388.6170
150,54029,23.0,8388.6080
